CI,Group,Subgroup,Detail,Description,Mode/Site Indicator,Duplicate Indicator
,1,02,017,Discount - tractor,,
,1,02,018,Discount - accumulated,,
,1,02,019,Discount - accumulated FCL,,
,1,02,020,Discount - on heavy lift additional,,
,1,02,021,Discount - on extra length additional,,
,1,02,022,Discount - on over height additional,,
,1,02,023,Discount - on over width additional,,
,1,02,024,Discount - on out of gauge additional,,
,1,02,025,Discount - FCL,,
,1,02,026,Discount - groupage,,
,1,02,027,Discount - CCV,,
,1,02,028,Discount - temporary,,
,1,02,029,Discount - special heavy lift,,
,1,02,030,Discount - charity,,
,1,02,041,Container reduction,,
,1,02,042,Commissions,,
,1,02,043,Forwarding Agents' Commission,,D1
,1,02,043,Forwarding commission   ,(FF),D2
,1,02,044,Forwarding Agents' Commission - Deferred,,
,1,02,045,Performance bonus,,
,1,02,046,Unspecified reduction,,
,1,02,047,Measurement reduction,,
,1,02,049,Pallet/skid reduction,,
,1,02,050,Sea freight reduction,,
,1,02,051,FCL abatement,,
,1,02,052,FCL abatement repayment,,
,1,02,070,Rebate - immediate,,
,1,02,071,Rebate - special immediate,,
,1,02,072,Rebate - contract,,
,1,02,073,Rebate - deferred,,
,1,02,074,Rebate - special deferred,,
,1,02,075,Rebate - loyalty,,
,1,02,076,Rebate - special commodity,,
,1,02,077,Rebate - oncarriage wool,,
,1,02,078,Rebate - wool shippers,,
,1,02,079,Rebate - conference project,,
,1,02,080,Rebate - special,,
,1,02,081,Rebate - direct on oncarrying freight,,
,1,02,082,Rebate - direct on seafreight,,
,1,02,083,Rebate - special direct,,
,1,02,084,Rebate - direct on collect seafreight,,
,1,02,085,Rebate - on loadingcosts,,
,1,02,086,Rebate - minimum pallet/unit/skid,,
,1,02,087,Rebate - charity,,
,1,02,088,Unofficial allowance,,
,1,03,000,  FREIGHT CHARGE ADJUSTMENT,,
,1,03,001,BAF,,
,1,03,002,BAF pre-carriage,,
,1,03,003,BAF sea freight,,
,1,03,004,BAF on-carriage,,
,1,03,005,Bunker adjustment rebate,,
,1,03,006,CAF,,
,1,03,007,Currency adjustment rebate,,
,1,03,008,Bunker/fuel surcharge,,
,1,03,009,Surcharge,,
,1,03,010,Surcharge on basic price,,
,1,03,011,Reduction on basic price,,
,1,03,012,Bad weather surcharge,,
,1,03,013,Currency devaluation surcharge,,
,1,03,015,CAF/BAF,,
,1,03,016,Bunker surcharge,,
,1,03,017,Energy surcharge,,
,1,03,018,Freight surcharge (sea or inland waterways),,
,1,03,019,Freight surcharge,,
,1,04,000,  FREIGHT CHARGES ADDITIONAL,,
,1,04,002,Cartage and labour,,
,1,04,003,Non-conference surcharge,,
,1,04,004,Heavy lift additional,,D1
,1,04,004,Heavy lift charges    ,(FF),D2
,1,04,005,Transhipment heavy lift additional,,
,1,04,006,Extra length additional,,
,1,04,007,Over height additional,,
,1,04,008,Over width additional,,
,1,04,009,Out of gauge additional,,
,1,04,010,Compensation inland freight,,
,1,04,011,Transhipment charges,,
,1,04,012,Destination port additional,,
,1,04,013,Origin port additional,,
,1,04,014,Outport additional,,
,1,04,015,Direct call additional,,
,1,04,016,Transhipment or transfer (charge for),,
,1,04,024,Container usage charge     ,(DD),D1
,1,04,024,Container utilization charge,,D2
,1,04,024,Use of container (charge for)   ,(20),D3
,1,04,025,Container Service Charge,,
,1,04,027,Equipment transfer charge origin,,
,1,04,028,Equipment demurrage,,
,1,04,029,Equipment transfer charge destination,,
,1,04,030,LCL additional,,
,1,04,031,LCL service charge,,
,1,04,032,Additional dunnaging charge,,
,1,04,036,FCL additional,,
,1,04,037,Equipment detention charge,,
,1,04,038,Drop-off Charge,,
,1,04,039,SQS Unpacking,,
,1,04,041,Warlike operations additional,,
,1,04,042,War risk additional,,
,1,04,043,War surcharge,,
,1,04,044,Emergency surcharge,,
,1,04,045,Area additional,,
,1,04,046,East Mediterranean surcharge,,
,1,04,052,Other charges    ,(FF),D1
,1,04,052,Other supplementary charges not specified,,D2
,1,04,052,Unspecified Additionals,,D3
,1,04,052,Unspecified charges    ,(DD),D4
,1,04,055,LCL service charge origin,,
,1,04,056,Direct outport additional,,
,1,04,059,Congestion surcharge,,
,1,04,060,Port surcharge,,
,1,04,063,Port charges,,
,1,04,064,Primage,,
,1,04,068,LCL service charge destination,,
,1,04,069,LCL port service charge,,
,1,04,070,FCL port service charge,,
,1,04,071,Additional for extra loading/discharging sites (incl. Axle changing),,
,1,04,072,Additional for extra sailing/detention cost,,
,1,04,073,Additional for loading/unloading at special places,,
,1,04,074,Additional for low water,,
,1,04,075,Additional for waterways with limited draught,,
,1,04,076,Additional on weight for special goods,,
,1,04,077,Additional on tariff for special goods,,
,1,04,078,Additional on weight for voluminous goods,,
,1,04,079,Additional per WT for dangerous goods: extra work,,
,1,04,080,"Additional for vermin, stench, dirt",,
,1,04,081,Additional for extra labour due to type of goods,,
,1,04,082,Compensation for willingness to sail in overtime,,
,1,04,083,Compensation for actual sailing in overtime,,
,1,04,084,Ice risk arrangment,,
,1,04,085,Range additional,,
,1,04,102,Ferry charges,,D1
,1,04,102,Ferry-boat crossing or maritime crossing (charge for)   ,(20),D2
,1,04,104,Scale fees,,
,1,04,106,Arbitrary charge/differential,,
,1,04,107,Australian shore costs,,
,1,04,108,BSR differential,,
,1,04,109,Break of journey (charge for),,
,1,04,110,CMR letter of freight,,
,1,04,111,Call charges,,
,1,04,112,Canadian terminal service charge,,
,1,04,113,"Canal charges, tolls, etc.",,
,1,04,114,Cartage,,
,1,04,115,Change of delivery status charge,,
,1,04,116,Charges collect fee,,
,1,04,118,Chilean mercantile marine tax,,
,1,04,119,Collection fee seafreight,,
,1,04,120,Commodity service charge,,
,1,04,121,Container rental,,
,1,04,124,Customs clearance charges,,
,1,04,125,Demurrage,,D1
,1,04,125,Demurrage charges       ,(DD),D2
,1,04,125,Demurrage costs        ,(10),D3
,1,04,125,Stabling or Demurrage of Wagons (charge for),,D4
,1,04,127,Demurrage and/or standage charges for vehicles (lorries or rail trucks) or containers,,
,1,04,129,Destination depot service charge,,
,1,04,130,Destination fees,,
,1,04,131,Destination port service charge,,
,1,04,132,Detention charges,,
,1,04,134,Equipment additional,,
,1,04,135,Crane charge,(11),D1
,1,04,135,Equipment charge,,D2
,1,04,135,Special equipment charge     ,(10),D3
,1,04,135,Use of loading tackle (charge for) ,(20),D4
,1,04,136,Feeder additional,,
,1,04,137,Forwarding (from/to)    ,(FF),D1
,1,04,137,Forwarding at origin or destination     ,(10),D2
,1,04,137,Forwarding charges,,D3
,1,04,138,Free house charges,,D1
,1,04,138,Optional destination fee     ,(10),D2
,1,04,139,Fumigation,,D1
,1,04,139,Fumigation    ,(FF),D2
,1,04,139,Fumigation (due to vermin in cargo),(80),D3
,1,04,139,Fumigation fee     ,(10),D4
,1,04,140,General Average (consignor's appointment),,
,1,04,141,Genoa port differential,,
,1,04,142,Great Lakes additional,,
,1,04,144,Pallet additional,,D1
,1,04,144,Use of pallets (charge for)    ,(20),D2
,1,04,144,Use of sheet (charge for)   ,(20),D3
,1,04,145,In-bond charge,,
,1,04,146,Inland drayage,,
,1,04,148,Interchange fee,,
,1,04,149,LCL and breakbulk service charge,,
,1,04,150,Landing charge,,
,1,04,151,Lift-0n Lift-Off Charges,,
,1,04,152,Lighterage,,
,1,04,153,Local drayage,,
,1,04,154,Meat transit storage levy,,
,1,04,155,Mexican taxes,,
,1,04,156,Montreal tailgate charge,,
,1,04,157,Freight collection fee,,
,1,04,158,Optional port surcharge,,
,1,04,159,Other costs not specified        ,(20),D1
,1,04,159,Out of pocket costs,,D2
,1,04,160,Advance of funds,,
,1,04,161,Overtime,,
,1,04,162,Harbour dues,,
,1,04,163,Panama canal charges,,
,1,04,164,Plugging-in Fee,,
,1,04,165,Port additional,,
,1,04,166,Port commodity tariff,,
,1,04,167,Port liner terminal charges,,
,1,04,168,Port liner terms charge,,
,1,04,169,Port service charge,,
,1,04,170,Portuguese tax,,
,1,04,172,Renumeration for shippers' owned equipment,,
,1,04,173,Ro-Ro terminal handling charge,,
,1,04,175,South-America tax,,
,1,04,176,Spanish tax,,
,1,04,177,Specific commodity charge,,
,1,04,178,Specific port/country additional,,
,1,04,179,St.Lawrence Seaway charges,,
,1,04,180,Subagent commission france,,
,1,04,181,Suez surcharge,,
,1,04,182,Swedish light dues,,
,1,04,183,Tank/bag cleaning charge,,
,1,04,185,Transfer charge for heavy articles,,
,1,04,186,Transhipment additionals,,
,1,04,188,Transhipment costs,,
,1,04,189,Transit,,
,1,04,190,Transit charges,,
,1,04,191,Transport charges free domicile cleared,,
,1,04,192,Transport charges free domicile uncleared,,
,1,04,193,Transport charges to border,,
,1,04,194,Transport charges to depot,,
,1,04,195,Uncontainerized port charge,,
,1,04,196,Utilization allowance,,
,1,04,197,Vanning and dumping charge,,
,1,04,198,War risk surcharge,,
,1,04,199,Wharfage,,
,1,04,200,Wool overflow charge,,
,1,04,201,Costs for crossing the channel tunnel,,
,1,04,202,Transport between terminals,,
,1,04,203,Transport charges from depot,,
+,1,04,204,Transport to customs,,
+,1,04,205,Transport to Cargo Warehouse,,
+,1,04,206,Transport to outside terminal incl. 1 gate charge,,
+,1,04,207,Transport to outside terminal incl. 2 gate charges,,
+,1,04,208,Transport by arrangement,,
+,1,04,209,Transport of bundled flats upon request,,
+,1,04,210,Additional transport charges dangerous goods,,
+,1,04,211,Additional transport charges special weights,,
+,1,04,212,Additional transport charges out of gauge,,
+,1,04,213,Transport to Customs X-Ray Station,,
,1,05,000,  PRE-CARRIAGE CHARGE,,
,1,05,001,Transhipment charge precarriage,,
,1,05,002,Pre-Carriage sea freight,,
,1,05,003,Unspecified freight additional precarriage sea,,
,1,05,004,Pre-Carriage haulage charges,,
,1,05,005,Pre-Carriage rail,,
,1,05,006,Pre-Carriage road,,
,1,05,007,Pre-Carriage air,,
,1,05,009,Pre-Carriage fuel surcharge,,
,1,05,010,Pre-Carriage port costs,,
,1,05,012,Origin depot additional,,
,1,05,013,Pre-Shipment charge,,
,1,05,014,Pre-Shipment charge - wool,,
,1,05,015,FCL packing,,
,1,05,016,LCL packing,,
,1,05,017,Origin zone transport charge,,
,1,05,018,Handover charge pre-carriage,,
,1,05,020,Precarrying freight,,
,1,06,000,  ON-CARRIAGE CHARGE,,
,1,06,001,Transhipment charge - oncarriage,,
,1,06,002,On-Carriage sea freight,,
,1,06,003,Unspecified freight additional oncarriage sea,,
,1,06,004,On-Carriage haulage charge,,
,1,06,005,On-Carriage rail,,
,1,06,006,On-Carriage road,,
,1,06,007,On-Carriage air,,
,1,06,008,On-Carriage fuel surcharge,,
,1,06,009,On-Carriage port costs,,
,1,06,010,Post shipment charge,,
,1,06,011,LCL unpacking,,
,1,06,012,FCL unpacking,,
,1,06,013,LCL wool unpacking charge,,
,1,06,014,Destination zone transport charge,,
,1,06,015,Delivery and zone charge wool,,
,1,06,016,Handover charge on-carriage,,
,1,06,018,Oncarrying freight,,
,1,07,000,  DANGEROUS GOODS ADDITIONAL CHARGES,,
,1,07,001,Dangerous goods additional,,D1
,1,07,001,Dangerous goods fee       ,(FF),D2
,1,07,002,Safety person (dangerous goods),,
,1,08,000,  SPECIAL TRANSPORT ADDITIONAL CHARGES,,
,1,08,001,Hanging garment rack fee,,
,1,08,002,Special container additional,,
,1,08,003,"Charge for use of special wagon, for example well-wagon",,
,1,08,004,Cost of carriage by special train,,
,1,08,005,Charge for use of trucks/carrying bogies,,
,1,08,006,Charge for out of-gauge consignments,,
,1,09,000,  HEATING ADDITIONAL CHARGES,,
,1,09,001,Container heating additional,,
,1,10,000,  COOLING ADDITIONAL CHARGES,,
,1,10,001,Reeferconnection electric - cont/days export,,
,1,10,002,Reeferconnection electric - cont/days import,,
,1,10,003,Insulated container days between first/last day export,,
,1,10,004,Insulated container days between first/last day import,,
,1,10,005,Insulated container first/last day export,,
,1,10,006,Insulated container first/last day import,,
,1,10,007,Mechanically refrigerated wagon charge,,
,1,10,009,Reeferconnection electric - first or last day export,,
,1,10,010,Reeferconnection electric - first or last day import,,
,1,10,011,Reeferconnection electric for shifted containers,,
,2,00,000,    GOODS HANDLING CHARGES,,
,2,00,999,All goods handling charges,,
,2,02,000,  HANDLING EQUIPMENT HIRE CHARGES,,
,2,02,001,Use of containercrane,,
,2,02,002,Use of vancarriers,,
,2,02,003,Use of tugmasters,,
,2,02,004,Use of 01-ton forktruck,,
,2,02,005,Use of 02.5 ton forktruck,,
,2,02,006,Use of 05-ton forktruck,,
,2,02,007,Use of 10-ton forktruck,,
,2,02,008,Use of railway gantry,,
,2,02,009,Use of 20 feet terminal chassis,,
,2,02,010,Use of 40 feet terminal chassis,,
,2,02,011,Use of heavy tugmaster,,
,2,02,012,Unit load device     ,(FF),
,2,02,013,Use of 45 feet terminal chassis,,
,2,03,000,  LOADING CHARGES,,
,2,03,001,Loading 20 feet containers full DS/SS,,
,2,03,002,Loading 30 feet containers full DS/SS,,
,2,03,003,Loading 35 feet containers full DS/SS,,
,2,03,004,Loading 40 feet containers full DS/SS,,
,2,03,005,Loading 20 feet container empty DS/SS,,
,2,03,006,Loading 30 feet container empty DS/SS,,
,2,03,007,Loading 35 feet container empty DS/SS,,
,2,03,008,Loading 40 feet container empty DS/SS,,
,2,03,009,Loading bundles containers DS/SS,,
,2,03,010,Loading containers with chains DS/SS,,
,2,03,011,Loading containers on time-basis DS/SS,,
,2,03,012,Loading 20 feet container full on feeders,,
,2,03,013,Loading 30 feet container full on feeders,,
,2,03,014,Loading 35 feet container full on feeders,,
,2,03,015,Loading 40 feet container full on feeders,,
,2,03,016,Loading 20 feet container empty on feeders,,
,2,03,017,Loading 30 feet container empty on feeders,,
,2,03,018,Loading 35 feet container empty on feeders,,
,2,03,019,Loading 40 feet container empty on feeders,,
,2,03,020,Loading bundles containers on feeders,,
,2,03,021,Loading containers with chains on feeders,,
,2,03,022,Loading containers on time-basis on feeders,,
,2,03,023,Loading 20 feet container into barge full,,
,2,03,024,Loading 30 feet container into barge full,,
,2,03,025,Loading 35 feet container into barge full,,
,2,03,026,Loading 40 feet container into barge full,,
,2,03,027,Loading 20 feet container into barge empty,,
,2,03,028,Loading 30 feet container into barge empty,,
,2,03,029,Loading 35 feet container into barge empty,,
,2,03,030,Loading 40 feet container into barge empty,,
,2,03,031,Loading container with chains into barge,,
,2,03,032,Loading palletized cargo up to and including 3 cbm per 1000 kg,,
,2,03,033,Loading palletized cargo - increase for exceeding 3 cbm per 1000 kg,,
,2,03,034,"Loading big bags of at least 1000 kg, provided with hoisting loops",,
,2,03,035,Loading linerboard on reels of min. 1500 kg per reel,,
,2,03,036,Loading blooms up to/incl. 5000 kg per piece/bundle,,
,2,03,037,Loading slabs up to/incl. 5000 kg per piece/bundle,,
,2,03,038,Loading billets up to/incl. 5000 kg per piece/bundle,,
,2,03,039,Loading coils up to/incl. 5000 kg per piece/bundle,,
,2,03,040,Loading strips and hoops up to/incl. 5000 kg per piece/bundle,,
,2,03,041,Loading plates (also corrugated) up to/incl. 5000 kg per piece/bundle,,
,2,03,042,Loading tinplates and sheets up to/incl. 5000 kg per piece/bundle,,
,2,03,043,"Loading tubes, pipes of min. 500 kg, up to/incl. 3000 kg per piece/bundle",,
,2,03,044,"Loading tubes, pipes of min. 500 kg, and over 3000 kg per piece/bundle",,
,2,03,045,Loading normal structural- and merchant steel up to/incl. 12 metres length,,
,2,03,046,Loading other iron and steel of min. 500 kg per piece/bundle,,
,2,03,047,Loading project cargo,,
,2,03,048,Loading normal structural- and merchant steel over 12 metres length,,
,2,03,049,Loading blooms over 5000 kg per piece/bundle,,
,2,03,050,Loading slabs over 5000 kg per piece/bundle,,
,2,03,051,Loading billets over 5000 kg per piece/bundle,,
,2,03,052,Loading coils over 5000 kg per piece/bundle,,
,2,03,053,Loading strips and hoops over 5000 kg per piece/bundle,,
,2,03,054,Loading plates (also corrugated) over 5000 kg per piece/bundle,,
,2,03,055,Loading tinplates and sheets over 5000 kg per piece/bundle,,
,2,03,056,Loading non ferrous metals loose or in bundles or in units,,
,2,03,057,Loading ingots of min. 25 kg each,,
,2,03,058,Loading blocks of min. 25 kg each,,
,2,03,059,Loading plates of min. 25 kg each,,
,2,03,060,Loading bars of min. 25 kg each,,
,2,03,061,Loading slabs of min. 25 kg each,,
,2,03,062,Loading units of min. 950 kg,,
,2,03,063,Loading bundles of min. 950 kg,,
,2,03,064,Loading blocks of min. 950 kg,,
,2,03,065,"Loading onions palletized, up to/incl. 750 kg per pallet or in bins of min. 400 kg",,
,2,03,066,"Loading onions palletized, over 750 kg per pallet",,
,2,03,067,"Loading garlic palletized, up to/incl. 750 kg per pallet or in bins of min. 400 kg",,
,2,03,068,"Loading garlic palletized, over 750 kg per pallet",,
,2,03,069,"Loading potatoes palletized, up to/incl. 750 kg per pallet or in bins of min. 400 kg",,
,2,03,070,"Loading potatoes palletized, over 750 kg per pallet",,
,2,03,071,"Loading fresh fruits in crates, bags over 15 kg up to/incl. 45 kg per package",,
,2,03,072,"Loading other agricultural products in crates, bags, etc. over 45 kg per package",,
,2,03,073,Loading cooled and refrig. cargo up to/incl. 20 kg per package,,
,2,03,074,Loading cooled and refrig. cargo over 20 kg per package,,
,2,03,075,"Loading cooled and refrig. cargo, palletized",,
,2,03,076,Loading bagged cargo in bags of min. 40 kg - parcels up to/incl 250 tons,,
,2,03,077,Loading bagged cargo in bags of min. 40 kg - parcels over 250 tons or paying for 250 tons,,
,2,03,078,Loading drums and barrels of min. 160 kg to be handled with chimbhooks,,
,2,03,079,"Loading drums and barrels of min. 160 kg, to be handled without chimbhooks or limited hoist size due to IMO",,
,2,03,080,Loading general cargo measuring up to/incl. 3 cbm per 1000 kg,,
,2,03,081,"Loading general cargo measuring up to/incl. 3 cbm per 1000 kg, delivered on shipper's pallets to be broken down during loading and to be redelivered to shore",,
,2,03,082,Loading general cargo - extra for measuring over 3 cbm per 1000 kg,,
,2,03,083,"Loading general cargo, delivered on shipper's pallets to be broken down during loading and to be broken down during loading and to be redelivered to shore",,
,2,03,084,"Loading motorcars or other rolling stock unpacked with tyres or tracks, up to/incl. 5 tons per piece",,
,2,03,085,"Loading motorcars or other rolling stock unpacked with tyres or tracks, over 5 tons but up to/incl. 17.5 tons per piece",,
,2,03,086,"Loading motorcars or other rolling stock unpacked with tyres or tracks, over 17.5 tons per piece",,
,2,03,087,Loading containers/flats up to/incl. 50 pieces per call,,
,2,03,088,Loading containers/flats over 50 pieces per call,,
,2,03,089,Loading containers DeepSea/ShortSea in overtime,,
,2,03,090,Loading containers with chains DeepSea/ShortSea in overtime,,
,2,03,091,Loading adaptors in overtime,,
,2,03,092,Loading palletized cargo in overtime,,
,2,03,093,Loading unpacked lifts in overtime,,
,2,03,094,Loading uncontainerized cargo in overtime,,
,2,03,095,Loading containers feeders in overtime,,
,2,03,096,Loading containers with chains feeders in overtime,,
,2,03,097,Loading chassis in overtime,,
,2,03,098,Loading breakbulk (1 ton to 7 ton) ro-ro in overtime,,
,2,03,099,Loading breakbulk (<1 ton) ro-ro in overtime,,
,2,03,100,Loading cars (not selfdriven) ro-ro,,
,2,03,102,Loading cars (not selfdriven) ro-ro in overtime,,
,2,03,104,Loading cars (selfdriven) ro-ro,,
,2,03,105,Loading cars (selfdriven) ro-ro in overtime,,
,2,03,106,Loading containers on wheels ro-ro,,
,2,03,107,Loading containers on wheels ro-ro in overtime,,
,2,03,108,Loading general cargo (1 ton to 7 tons) ro-ro,,
,2,03,109,Loading general cargo (<1 ton) ro-ro,,
,2,03,110,Loading logs (bundled) ro-ro,,
,2,03,111,Loading logs (bundled) ro-ro in overtime,,
,2,03,112,Loading logs (loose) ro-ro,,
,2,03,113,Loading logs (loose) ro-ro in overtime,,
,2,03,114,Loading special units ro-ro,,
,2,03,115,Loading special units ro-ro in overtime,,
,2,03,116,Loading tractors (not selfdriven) ro-ro,,
,2,03,117,Loading tractors (not selfdriven) ro-ro in overtime,,
,2,03,118,Loading tractors (selfdriven) ro-ro,,
,2,03,119,Loading tractors (selfdriven) ro-ro in overtime,,
,2,03,120,Loading trailers ro-ro,,
,2,03,121,Loading trailers ro-ro in overtime,,
,2,03,122,Loading trucks (not selfdriven) ro-ro,,
,2,03,123,Loading trucks (not selfdriven) ro-ro in overtime,,
,2,03,124,Loading trucks (selfdriven) ro-ro,,
,2,03,125,Loading trucks (selfdriven) ro-ro in overtime,,
,2,03,126,Loading units on wheels (selfdriven) ro-ro,,
,2,03,127,Loading units on wheels (selfdriven) ro-ro in overtime,,
,2,03,130,Loading charges,,D1
,2,03,130,Loading into containers     ,(FF),D2
,2,03,131,Loading containers,,
,2,03,133,Loading on trailer/wagon,,
,2,03,134,"Loading, unloading or adjustment of load (charge for)  ",(20),D1
,2,03,134,Loading/Offloading/Unsheeting/Stripping/Stuffing ,(FF),D2
,2,03,134,Loading/Unloading charges,,D3
,2,03,135,Loading 20 feet container full with overheight/overwide on feeders,,
,2,03,136,Loading 20 feet container full dangerous goods on feeders,,
,2,03,137,Loading 40 feet container full with overheight/overwide on feeders,,
,2,03,138,Loading 40 feet container full dangerous goods on feeders,,
,2,03,139,Loading 20 feet container full with overheight/overwide into barge ,,
,2,03,140,Loading 20 feet container into barge full - additional charges,,
,2,03,141,Loading 40 feet container full with overheight/overwide into barge ,,
,2,03,142,Loading 40 feet container into barge full - additional charges,,
,2,03,143,Loading 20 feet container empty into barge - additional charges,,
,2,03,144,Loading 40 feet container empty into barge - additional charges,,
,2,03,145,Loading/Unloading charges of over X times cargo measurement,,
,2,03,146,Loading/Unloading dues - sea transit,,
,2,03,147,Loading 20 feet containers full DS/SS with dangerous goods,,
,2,03,148,Loading 20 feet containers full DS/SS with overheight/overwide,,
,2,03,149,Loading 20 feet containers full DS/SS with flats/platform,,
,2,03,150,Loading 20 feet containers full DS/SS main vessel to main vessel,,
,2,03,151,Loading 40 feet containers full DS/SS with dangerous goods,,
,2,03,152,Loading 40 feet containers full DS/SS with overheight/overwide,,
,2,03,153,Loading 40 feet containers full DS/SS with flats/platform,,
,2,03,154,Loading 40 feet containers full DS/SS main vessel to main vessel,,
,2,03,155,Loading 45 feet containers full DS/SS,,
,2,03,156,Loading 45 feet container empty DS/SS,,
,2,03,157,Loading 45 feet container full on feeders,,
,2,03,158,Loading 45 feet container empty on feeders,,
,2,03,159,Loading 45 feet container into barge full,,
,2,03,160,Loading 45 feet container into barge empty,,
,2,03,161,Loading 45 feet container full with overheight/overwide on feeders,,
,2,03,162,Loading 45 feet container full dangerous goods on feeders,,
,2,03,163,Loading 45 feet container full with overheight/overwide into barge ,,
,2,03,164,Loading 45 feet container into barge full - additional charges,,
,2,03,165,Loading 45 feet container empty into barge - additional charges,,
,2,03,166,Loading 45 feet containers full DS/SS with dangerous goods,,
,2,03,167,Loading 45 feet containers full DS/SS with overheight/overwide,,
,2,03,168,Loading 45 feet containers full DS/SS with flats/platform,,
,2,03,169,Loading 45 feet containers full DS/SS main vessel to main vessel,,
,2,03,170,Loading uncontainerized cargo,,
,2,03,171,Loading uncontainerized cargo in overtime,,
,2,03,172,Loading 20 feet containers full feeder vessel to main vessel,,
,2,03,173,Loading 40 feet containers full feeder vessel to main vessel,,
,2,03,174,Loading 45 feet containers full feeder vessel to main vessel,,
,2,03,175,Loading 20 feet containers empty DS/SS main vessel to main vessel,,
,2,03,176,Loading 40 feet containers empty DS/SS main vessel to main vessel,,
,2,03,177,Loading 45 feet containers empty DS/SS main vessel to main vessel,,
,2,03,178,Loading 20 feet containers empty feeder vessel to main vessel,,
,2,03,179,Loading 40 feet containers empty feeder vessel to main vessel,,
,2,03,180,Loading 45 feet containers empty feeder vessel to main vessel,,
,2,03,181,Loading 20 feet containers full DS/SS main vessel to main vessel in overtime,,
,2,03,182,Loading 40 feet containers full DS/SS main vessel to main vessel in overtime,,
,2,03,183,Loading 45 feet containers full DS/SS main vessel to main vessel in overtime,,
,2,03,184,Loading 20 feet containers full feeder vessel to main vessel in overtime,,
,2,03,185,Loading 40 feet containers full feeder vessel to main vessel in overtime,,
,2,03,186,Loading 45 feet containers full feeder vessel to main vessel in overtime,,
,2,03,187,Loading 20 feet containers empty DS/SS main vessel to main vessel in overtime,,
,2,03,188,Loading 40 feet containers empty DS/SS main vessel to main vessel in overtime,,
,2,03,189,Loading 45 feet containers empty DS/SS main vessel to main vessel in overtime,,
,2,03,190,Loading 20 feet containers empty feeder vessel to main vessel in overtime,,
,2,03,191,Loading 40 feet containers empty feeder vessel to main vessel in overtime,,
,2,03,192,Loading 45 feet containers empty feeder vessel to main vessel in overtime,,
,2,03,193,Loading containers main vessel to main vessel with dangerous goods,,
,2,03,194,Loading containers main vessel to main vessel with overheight/overwidth in overtime,,
